spare,n,n_device,occupancy,avg_degree,degree_seed,n_construction_tries,seed,optimization_level,repeat,elapsed_since_start_s,time_ms,layout_ms,routing_ms,accounted_ms,layout_frac,vf2layout_ms,sabrelayout_ms,vf2postlayout_ms,sabreswap_ms,slowest_pass,slowest_pass_ms,n_passes,vf2_stop_reason,two_qubit_gates,depth,error,cpu,cpu_model,platform,python_version,qiskit_version,n_per_side,gates_per_pair,seed_transpiler
0,116,116,1.0,2.2586206896551726,42,19,0,3,0,17.845111599999655,20274.705099999665,20256.519317626953,0.0,20268.176317214966,0.9991030309795869,5879.636287689209,13.178586959838867,14363.704442977905,0.0,VF2PostLayout,14363.704442977905,25,nonexistent solution,186,38,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel","Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,58,20,42
0,116,116,1.0,2.2586206896551726,42,19,0,3,1,38.13939009999922,35618.869099999756,35574.53155517578,0.0,35591.660022735596,0.9987552231178509,17805.161237716675,16.785621643066406,17752.58469581604,0.0,VF2Layout,17805.161237716675,25,nonexistent solution,186,38,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel","Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,58,20,42
0,116,116,1.0,2.2586206896551726,42,19,0,3,2,73.76541299999917,37694.73310000012,37642.247438430786,0.0,37663.349628448486,0.9986076128611895,18898.573875427246,0.0,18743.67356300354,0.0,VF2Layout,18898.573875427246,25,nonexistent solution,186,38,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel","Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,58,20,42
0,116,116,1.0,2.2586206896551726,42,19,1,3,0,143.35739990000002,25175.989399999708,25148.930072784424,0.0,25168.07222366333,0.9989251930962727,8127.9191970825195,16.048192977905273,17004.962682724,0.0,VF2PostLayout,17004.962682724,25,nonexistent solution,186,38,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel","Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,58,20,42
0,116,116,1.0,2.2586206896551726,42,19,1,3,1,168.55301019999933,33063.4172,33023.20718765259,0.0,33049.47566986084,0.9987838518897129,16706.762552261353,16.235828399658203,16300.208806991577,0.0,VF2Layout,16706.762552261353,25,nonexistent solution,186,38,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel","Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,58,20,42
0,116,116,1.0,2.2586206896551726,42,19,1,3,2,201.6329040999999,34473.16429999955,34429.63671684265,0.0,34455.47533035278,0.9987373487743073,16942.830324172974,8.09025764465332,17478.716135025024,0.0,VF2PostLayout,17478.716135025024,25,nonexistent solution,186,38,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel","Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,58,20,42
0,116,116,1.0,2.2586206896551726,42,19,2,3,0,274.93684459999986,16573.113100000228,16550.750255584717,0.0,16559.701919555664,0.9986506551738001,5969.892978668213,3.0002593994140625,10577.85701751709,0.0,VF2PostLayout,10577.85701751709,25,nonexistent solution,186,38,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel","Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,58,20,42
0,116,116,1.0,2.2586206896551726,42,19,2,3,1,291.5238213999992,37931.22140000014,37856.89616203308,0.0,37900.21300315857,0.9980405261095268,19562.492609024048,17.174482345581055,18277.229070663452,0.0,VF2Layout,19562.492609024048,25,nonexistent solution,186,38,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel","Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,58,20,42
0,116,116,1.0,2.2586206896551726,42,19,2,3,2,329.4739759999993,33587.233899999774,33544.519901275635,0.0,33558.5834980011,0.998728266851289,17745.113372802734,5.769014358520508,15793.63751411438,0.0,VF2Layout,17745.113372802734,25,nonexistent solution,186,38,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel","Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,58,20,42
0,116,116,1.0,2.2586206896551726,42,19,3,3,0,393.43916979999995,29903.81199999956,29874.797105789185,0.0,29875.306844711304,0.9990297259021567,14341.088056564331,9.332418441772461,15524.376630783081,0.0,VF2PostLayout,15524.376630783081,25,nonexistent solution,186,38,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel","Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,58,20,42
