spare_pairs,spare_qubits,n,n_pairs,occupancy_of_matching_capacity,occupancy_of_device,seed,optimization_level,repeat,elapsed_since_start_s,n_pairs_required,embedding_feasible,matching_relative_slack,device_qubits,is_bipartite,bipartite_size_a,bipartite_size_b,bipartite_imbalance,max_matching_pairs,perfect_matching_exists,time_ms,layout_ms,routing_ms,accounted_ms,layout_frac,vf2layout_ms,sabrelayout_ms,vf2postlayout_ms,sabreswap_ms,slowest_pass,slowest_pass_ms,n_passes,vf2_stop_reason,vf2post_stop_reason,vf2postlayout_ran,vf2layout_ran,two_qubit_gates,depth,error,cpu,cpu_model,platform,python_version,qiskit_version,heavy_hex_distance,gates_per_pair,seed_transpiler
0,0,96,48,1.0,0.8347826086956521,0,3,0,1.9406252999997378,48,True,0,115,True,67,48,19,48,False,43.33989999940968,27.926921844482422,0.0,50.08363723754883,0.6443697803839604,27.926921844482422,0.0,0.0,0.0,VF2Layout,27.926921844482422,27,solution found,no better solution found,True,True,144,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel","Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,7,20,42
0,0,96,48,1.0,0.8347826086956521,0,3,1,1.9872946999985288,48,True,0,115,True,67,48,19,48,False,44.69280000012077,17.623424530029297,0.0,48.598527908325195,0.39432357180533945,16.614198684692383,0.0,1.009225845336914,0.0,VF2Layout,16.614198684692383,27,solution found,no better solution found,True,True,144,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel","Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,7,20,42
0,0,96,48,1.0,0.8347826086956521,1,3,0,2.243442099999811,48,True,0,115,True,67,48,19,48,False,43.612299999949755,26.91197395324707,0.0,36.36336326599121,0.6170730264920234,26.91197395324707,0.0,0.0,0.0,VF2Layout,26.91197395324707,27,solution found,no better solution found,True,True,144,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel","Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,7,20,42
0,0,96,48,1.0,0.8347826086956521,1,3,1,2.2904273999993165,48,True,0,115,True,67,48,19,48,False,43.137900000147056,27.57573127746582,0.0,43.407440185546875,0.6392460290689119,18.645286560058594,0.0,0.0,0.0,VF2Layout,18.645286560058594,27,solution found,no better solution found,True,True,144,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel","Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,7,20,42
0,0,96,48,1.0,0.8347826086956521,2,3,0,2.516335499998604,48,True,0,115,True,67,48,19,48,False,44.88300000048184,31.79335594177246,0.0,31.79335594177246,0.708360758893816,31.79335594177246,0.0,0.0,0.0,VF2Layout,31.79335594177246,27,solution found,no better solution found,True,True,144,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel","Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,7,20,42
0,0,96,48,1.0,0.8347826086956521,2,3,1,2.564315699999497,48,True,0,115,True,67,48,19,48,False,42.661799998313654,37.08481788635254,0.0,44.27742958068848,0.8692745708764852,37.08481788635254,0.0,0.0,0.0,VF2Layout,37.08481788635254,27,solution found,no better solution found,True,True,144,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel","Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,7,20,42
1,2,94,47,0.9791666666666666,0.8173913043478261,0,3,0,2.7845869999982824,47,True,1,115,True,67,48,19,48,False,42.332400000304915,20.81131935119629,0.0,25.05207061767578,0.49161680771811633,20.81131935119629,0.0,0.0,0.0,VF2Layout,20.81131935119629,27,solution found,no better solution found,True,True,141,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel","Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,7,20,42
1,2,94,47,0.9791666666666666,0.8173913043478261,0,3,1,2.829889299999195,47,True,1,115,True,67,48,19,48,False,48.13099999955739,33.678531646728516,0.0,37.425994873046875,0.6997264059969297,33.678531646728516,0.0,0.0,0.0,VF2Layout,33.678531646728516,27,solution found,no better solution found,True,True,141,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel","Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,7,20,42
1,2,94,47,0.9791666666666666,0.8173913043478261,1,3,0,3.0562899999986257,47,True,1,115,True,67,48,19,48,False,45.34109999985958,25.438308715820312,0.0,31.496524810791016,0.5610430429764407,25.438308715820312,0.0,0.0,0.0,VF2Layout,25.438308715820312,27,solution found,no better solution found,True,True,141,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel","Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,7,20,42
1,2,94,47,0.9791666666666666,0.8173913043478261,1,3,1,3.1046976999987237,47,True,1,115,True,67,48,19,48,False,44.14599999836355,17.173051834106445,0.0,37.52923011779785,0.3890058405006803,17.173051834106445,0.0,0.0,0.0,VF2Layout,17.173051834106445,27,solution found,no better solution found,True,True,141,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel","Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,7,20,42
