family,k,m,order,j,n_bare,dominant_size,n_interaction_edges,max_interaction_degree,spare,n,occupancy,n_pairs,seed,optimization_level,repeat,elapsed_since_start_s,max_matching_size,n_pairs_required,embedding_feasible,perfect_matching_exists,matching_slack,time_ms,layout_ms,routing_ms,accounted_ms,layout_frac,vf2layout_ms,sabrelayout_ms,vf2postlayout_ms,sabreswap_ms,slowest_pass,slowest_pass_ms,n_passes,vf2_stop_reason,vf2post_stop_reason,vf2postlayout_ran,vf2layout_ran,two_qubit_gates,depth,error,cpu,platform,python_version,qiskit_version,grid_rows,grid_cols,grid_size,gates_per_pair,seed_transpiler
dominant_size_sweep,,,,,,5,45,2,0,64,1.0,32,0,3,0,10.632569899998998,32,32,True,True,0,9035.7651000013,9014.992713928223,0.0,9022.518873214722,0.9977010927305897,4572.362899780273,2.0036697387695312,4440.62614440918,0.0,VF2Layout,4572.362899780273,25,nonexistent solution,no better solution found,True,True,156,301,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,8,8,64,20,42
dominant_size_sweep,,,,,,5,45,2,0,64,1.0,32,0,3,1,19.672375599999214,32,32,True,True,0,9068.793300000834,9047.797679901123,0.0,9055.204391479492,0.9976848496370836,4559.774398803711,2.0029544830322266,4486.02032661438,0.0,VF2Layout,4559.774398803711,25,nonexistent solution,no better solution found,True,True,156,301,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,8,8,64,20,42
dominant_size_sweep,,,,,,5,45,2,0,64,1.0,32,1,3,0,38.164409299999534,32,32,True,True,0,9014.200900001015,8991.677522659302,0.0,9000.924825668335,0.997501345089645,4591.709613800049,1.1200904846191406,4398.847818374634,0.0,VF2Layout,4591.709613800049,25,nonexistent solution,no better solution found,True,True,156,301,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,8,8,64,20,42
dominant_size_sweep,,,,,,5,45,2,0,64,1.0,32,1,3,1,47.18310089999977,32,32,True,True,0,9020.027099999425,8997.153282165527,0.0,9006.192922592163,0.9974641076373375,4597.201824188232,2.0024776458740234,4397.948980331421,0.0,VF2Layout,4597.201824188232,25,nonexistent solution,no better solution found,True,True,156,301,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,8,8,64,20,42
dominant_size_sweep,,,,,,5,45,2,0,64,1.0,32,2,3,0,65.45890390000022,32,32,True,True,0,8857.129100000748,8834.93685722351,0.0,8842.211484909058,0.9974944203108392,4496.206045150757,2.172708511352539,4336.558103561401,0.0,VF2Layout,4496.206045150757,25,nonexistent solution,no better solution found,True,True,156,301,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,8,8,64,20,42
dominant_size_sweep,,,,,,5,45,2,0,64,1.0,32,2,3,1,74.32126079999944,32,32,True,True,0,8926.248199999463,8906.471729278564,0.0,8914.523601531982,0.9977844587918919,4444.2853927612305,2.0825862884521484,4460.103750228882,0.0,VF2PostLayout,4460.103750228882,25,nonexistent solution,no better solution found,True,True,156,301,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,8,8,64,20,42
dominant_size_sweep,,,,,,10,45,2,0,64,1.0,32,0,3,0,83.53480299999865,32,32,True,True,0,34.56879999976081,16.4487361907959,0.0,23.46968650817871,0.47582606833068286,15.070438385009766,0.0,1.3782978057861328,0.0,VF2Layout,15.070438385009766,26,solution found,no better solution found,True,True,135,214,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,8,8,64,20,42
dominant_size_sweep,,,,,,10,45,2,0,64,1.0,32,0,3,1,83.573258299999,32,32,True,True,0,35.238399999798276,16.067981719970703,0.0,23.20241928100586,0.4559793214238639,16.067981719970703,0.0,0.0,0.0,VF2Layout,16.067981719970703,26,solution found,no better solution found,True,True,135,214,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,8,8,64,20,42
dominant_size_sweep,,,,,,10,45,2,0,64,1.0,32,1,3,0,83.88553949999914,32,32,True,True,0,35.65879999950994,17.227888107299805,0.0,24.486064910888672,0.4831314600473535,15.22374153137207,0.0,1.0027885437011719,0.0,VF2Layout,15.22374153137207,26,solution found,no better solution found,True,True,135,214,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,8,8,64,20,42
dominant_size_sweep,,,,,,10,45,2,0,64,1.0,32,1,3,1,83.92516869999963,32,32,True,True,0,35.620799999378505,16.0672664642334,0.0,22.336483001708984,0.451064166568795,16.0672664642334,0.0,0.0,0.0,VF2Layout,16.0672664642334,26,solution found,no better solution found,True,True,135,214,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,8,8,64,20,42
