grid,family,strategy,n,params,circuits_per_iteration,one_time_compile_s,per_circuit_median_ms,per_circuit_min_ms,per_circuit_max_ms,extrapolated_per_iteration_s,median_2q,min_2q,max_2q,median_depth,coupling_violations,max_expval_err
4x4,same_pair,A_compile_once,16,192,385,2.1367836999997962,0.5700999972759746,0.37480000173673034,0.9042000019690022,2.3562721989510464,48,48,48,36,0,7.1e-16
4x4,same_pair,B_qiskit_L3,16,192,385,,18.06310000392841,17.926200001966208,18.305300000065472,6.9542935015124385,24,24,24,16,0,1.9e-15
4x4,same_pair,C_psf_zero,16,192,385,,13.44529999914812,12.771900001098402,16.6899999967427,5.176440499672026,24,24,24,23,0,4.7e-14
4x4,brickwork,A_compile_once,16,192,385,0.017341900005703792,0.6561999980476685,0.3620999996201135,0.8832000021357089,0.26997889925405616,45,45,45,36,0,5.3e-16
4x4,brickwork,B_qiskit_L3,16,192,385,,16.780300000391435,16.45979999739211,17.583100001502316,6.460415500150702,45,45,45,33,0,7.0e-16
4x4,brickwork,C_psf_zero,16,192,385,,11.516800004756078,11.329600005410612,11.989499995252118,4.43396800183109,45,45,45,30,0,4.0e-16
6x7,same_pair,A_compile_once,42,504,1009,6.835224299997208,1.026900004944764,0.9941999960574321,1.1355999959050678,7.871366404986475,126,126,126,36,0,n/a
6x7,same_pair,B_qiskit_L3,42,504,1009,,6825.1343999945675,6801.703400000406,6837.00890000182,6886.560609594519,63,63,63,16,0,n/a
6x7,same_pair,C_psf_zero,42,504,1009,,24.54099999886239,23.884199996246025,25.952199997846037,24.76186899885215,63,63,63,23,0,n/a
6x7,brickwork,A_compile_once,42,504,1009,0.03805030000512488,0.9902999954647385,0.9540999963064678,1.330200000666082,1.037262995429046,123,123,123,36,0,n/a
6x7,brickwork,B_qiskit_L3,42,504,1009,,36.3943999982439,35.647199998493306,37.418100000650156,36.72194959822809,123,123,123,33,0,n/a
6x7,brickwork,C_psf_zero,42,504,1009,,17.22680000239052,16.94399999541929,17.48529999895254,17.381841202412033,123,123,123,30,0,n/a
