grid,family,strategy,n,params,circuits_per_iteration,applicable,one_time_s,per_circuit_median_ms,per_circuit_min_ms,per_circuit_max_ms,steady_per_iteration_s_extrapolated,median_2q,min_2q,max_2q,median_depth,coupling_violations,all_gates_in_basis,max_expval_err
4x4,same_pair,A_compile_once,16,192,385,True,1.2783819999967818,0.5871000030310825,0.4087999986950308,0.6281999958446249,0.22603350116696674,48,48,48,36,0,True,7.1e-16
4x4,same_pair,B_qiskit_L3,16,192,385,True,0.0,18.198499994468875,17.833099998824764,21.219999995082617,7.006422497870517,24,24,24,16,0,True,1.9e-15
4x4,same_pair,C_psf_zero,16,192,385,True,0.0,14.292499996372499,13.60230000136653,14.799499993387144,5.502612498603412,24,24,24,23,0,True,4.7e-14
4x4,same_pair,D_layout_once,16,192,385,True,0.18144970000139438,3.0398000017157756,2.7453000002424233,3.561099998478312,1.1703230006605736,24,24,24,23,0,True,4.7e-14
4x4,brickwork,A_compile_once,16,192,385,True,0.01924739999958547,0.727700004063081,0.3704000046127476,1.0858000023290515,0.2801645015642862,45,45,45,36,0,True,5.3e-16
4x4,brickwork,B_qiskit_L3,16,192,385,True,0.0,16.978699997707736,16.577599999436643,18.7556000018958,6.536799499117478,45,45,45,33,0,True,7.0e-16
4x4,brickwork,C_psf_zero,16,192,385,True,0.0,12.217600000440143,11.126899997179862,13.47679999889806,4.703776000169455,45,45,45,30,0,True,4.0e-16
4x4,brickwork,D_layout_once,16,192,385,True,0.0006121000042185187,3.5762000043177977,3.4412000022712164,4.535899999609683,1.3768370016623521,45,45,45,30,0,True,2.8e-16
6x7,same_pair,A_compile_once,42,504,1009,True,6.969669399994018,1.0002000053646043,0.9298000004491769,1.0447999957250431,1.0092018054128857,126,126,126,36,0,True,n/a
6x7,same_pair,B_qiskit_L3,42,504,1009,True,0.0,6741.998799996509,6684.879100001126,6878.866699997161,6802.676789196477,63,63,63,16,0,True,n/a
6x7,same_pair,C_psf_zero,42,504,1009,True,0.0,23.393399998894893,22.45460000267485,23.888899995654356,23.603940598884947,63,63,63,23,0,True,n/a
6x7,same_pair,D_layout_once,42,504,1009,True,0.001611400002730079,5.299299999023788,4.873500001849607,68.96689999848604,5.346993699015002,63,63,63,23,0,True,n/a
6x7,brickwork,A_compile_once,42,504,1009,True,0.04089180000300985,0.9563999992678873,0.930900001549162,1.3140000010025688,0.9650075992612983,123,123,123,36,0,True,n/a
6x7,brickwork,B_qiskit_L3,42,504,1009,True,0.0,36.407499996130355,35.01470000628615,39.25839999283198,36.73516749609553,123,123,123,33,0,True,n/a
6x7,brickwork,C_psf_zero,42,504,1009,True,0.0,17.005500005325302,16.93310000700876,18.536299998231698,17.15854950537323,123,123,123,30,0,True,n/a
6x7,brickwork,D_layout_once,42,504,1009,True,0.0009264999971492216,7.312600006116554,7.05720000405563,9.806499998376239,7.378413406171603,123,123,123,30,0,True,n/a
