spare,n,occupancy,n_pairs,seed,optimization_level,repeat,elapsed_since_start_s,max_matching_size,n_pairs_required,embedding_feasible,perfect_matching_exists,matching_slack,time_ms,layout_ms,routing_ms,accounted_ms,layout_frac,vf2layout_ms,sabrelayout_ms,vf2postlayout_ms,sabreswap_ms,slowest_pass,slowest_pass_ms,n_passes,vf2_stop_reason,vf2post_stop_reason,vf2postlayout_ran,vf2layout_ran,two_qubit_gates,depth,error,cpu,platform,python_version,qiskit_version,grid_rows,grid_cols,grid_size,gates_per_pair,seed_transpiler
0,42,1.0,21,0,3,0,9.298848600003112,21,21,True,True,0,19869.39160000111,19854.413270950317,0.0,19858.259201049805,0.9992461606599575,10515.633821487427,15.918493270874023,9322.860956192017,0.0,VF2Layout,10515.633821487427,25,nonexistent solution,no better solution found,True,True,63,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
0,42,1.0,21,0,3,1,29.169611500001338,21,21,True,True,0,6738.95469999843,6729.068279266357,0.0,6729.068279266357,0.9985329444740034,3314.4099712371826,0.0,3414.658308029175,0.0,VF2PostLayout,3414.658308029175,25,nonexistent solution,no better solution found,True,True,63,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
0,42,1.0,21,1,3,0,42.66772530000162,21,21,True,True,0,6692.010499999014,6683.4869384765625,0.0,6683.4869384765625,0.9987263078080267,3349.778413772583,0.0,3333.7085247039795,0.0,VF2Layout,3349.778413772583,25,nonexistent solution,no better solution found,True,True,63,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
0,42,1.0,21,1,3,1,49.36175510000248,21,21,True,True,0,6650.854200001049,6633.55565071106,0.0,6649.649620056152,0.9973990484876383,3333.869218826294,0.0,3299.6864318847656,0.0,VF2Layout,3333.869218826294,25,nonexistent solution,no better solution found,True,True,63,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
0,42,1.0,21,2,3,0,62.976408500002435,21,21,True,True,0,6707.794300000387,6699.0790367126465,0.0,6701.36833190918,0.9987007259170515,3350.435733795166,0.0,3348.6433029174805,0.0,VF2Layout,3350.435733795166,25,nonexistent solution,no better solution found,True,True,63,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
0,42,1.0,21,2,3,1,69.6859405000032,21,21,True,True,0,6787.772799998493,6788.661241531372,0.0,6788.661241531372,1.0001308885195568,3416.261672973633,0.5872249603271484,3371.812343597412,0.0,VF2Layout,3416.261672973633,25,nonexistent solution,no better solution found,True,True,63,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
2,40,0.9523809523809523,20,0,3,0,76.56194880000112,21,20,True,True,1,21.58440000130213,9.963274002075195,0.0,16.276836395263672,0.4615960601857887,9.963274002075195,0.0,0.0,0.0,VF2Layout,9.963274002075195,26,solution found,no better solution found,True,True,60,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
2,40,0.9523809523809523,20,0,3,1,76.5849315000014,21,20,True,True,1,25.161000001389766,11.362791061401367,0.0,28.464555740356445,0.45160331706902523,11.362791061401367,0.0,0.0,0.0,ConsolidateBlocks,15.098333358764648,26,solution found,no better solution found,True,True,60,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
2,40,0.9523809523809523,20,1,3,0,76.70109490000323,21,20,True,True,1,21.541899997828295,23.873567581176758,0.0,23.873567581176758,1.10823871541431,23.873567581176758,0.0,0.0,0.0,VF2Layout,23.873567581176758,26,solution found,no better solution found,True,True,60,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
2,40,0.9523809523809523,20,1,3,1,76.72400000000198,21,20,True,True,1,21.788999998534564,7.491350173950195,0.0,16.150951385498047,0.34381340008509026,7.491350173950195,0.0,0.0,0.0,VF2Layout,7.491350173950195,26,solution found,no better solution found,True,True,60,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
2,40,0.9523809523809523,20,2,3,0,76.83315589999984,21,20,True,True,1,22.00290000109817,16.204833984375,0.0,16.204833984375,0.7364862806069297,16.204833984375,0.0,0.0,0.0,VF2Layout,16.204833984375,26,solution found,no better solution found,True,True,60,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
2,40,0.9523809523809523,20,2,3,1,76.85654680000152,21,20,True,True,1,20.72520000001532,12.305498123168945,0.0,14.354228973388672,0.5937456875282192,12.305498123168945,0.0,0.0,0.0,VF2Layout,12.305498123168945,26,solution found,no better solution found,True,True,60,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
