family,k,m,j,n_interaction_edges,max_interaction_degree,spare,n,occupancy,n_pairs,seed,optimization_level,repeat,elapsed_since_start_s,max_matching_size,n_pairs_required,embedding_feasible,perfect_matching_exists,matching_slack,time_ms,layout_ms,routing_ms,accounted_ms,layout_frac,vf2layout_ms,sabrelayout_ms,vf2postlayout_ms,sabreswap_ms,slowest_pass,slowest_pass_ms,n_passes,vf2_stop_reason,vf2post_stop_reason,vf2postlayout_ran,vf2layout_ran,two_qubit_gates,depth,error,cpu,platform,python_version,qiskit_version,grid_rows,grid_cols,grid_size,gates_per_pair,seed_transpiler
merged_pairs,,0.0,,21,1,0,42,1.0,21,0,3,0,9.305394499999238,21,21,True,True,0,21475.01249999914,21441.742420196533,0.0,21450.664520263672,0.998450753879533,11583.381652832031,0.0,9858.360767364502,0.0,VF2Layout,11583.381652832031,25,nonexistent solution,no better solution found,True,True,63,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
merged_pairs,,0.0,,21,1,0,42,1.0,21,0,3,1,30.784446800000296,21,21,True,True,0,20210.386800001288,20182.92737007141,0.0,20190.70339202881,0.9986413209107965,10571.983814239502,0.0,9610.94355583191,0.0,VF2Layout,10571.983814239502,25,nonexistent solution,no better solution found,True,True,63,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
merged_pairs,,0.0,,21,1,0,42,1.0,21,1,3,0,64.81879499999923,21,21,True,True,0,6450.044400000479,6438.576698303223,0.0,6454.559803009033,0.99822207399111,3232.290267944336,0.0,3206.2864303588867,0.0,VF2Layout,3232.290267944336,25,nonexistent solution,no better solution found,True,True,63,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
merged_pairs,,0.0,,21,1,0,42,1.0,21,1,3,1,71.27039169999989,21,21,True,True,0,6407.258300001558,6394.534349441528,0.0,6410.6285572052,0.9980141349132082,3229.222297668457,0.0,3165.3120517730713,0.0,VF2Layout,3229.222297668457,25,nonexistent solution,no better solution found,True,True,63,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
merged_pairs,,0.0,,21,1,0,42,1.0,21,2,3,0,84.11732359999951,21,21,True,True,0,6502.303499997652,6500.706434249878,0.0,6500.706434249878,0.9997543846195777,3236.9384765625,1.0144710540771484,3262.753486633301,0.0,VF2PostLayout,3262.753486633301,25,nonexistent solution,no better solution found,True,True,63,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
merged_pairs,,0.0,,21,1,0,42,1.0,21,2,3,1,90.62106869999843,21,21,True,True,0,7524.705800002266,7506.6187381744385,0.0,7532.227277755737,0.9975963097683072,3232.112407684326,0.0,4274.506330490112,0.0,VF2PostLayout,4274.506330490112,25,nonexistent solution,no better solution found,True,True,63,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
merged_pairs,,1.0,,22,2,0,42,1.0,21,0,3,0,113.34557249999853,21,21,True,True,0,14321.625100001256,14296.708106994629,0.0,14300.524234771729,0.9982601839642747,7163.112163543701,0.0,7133.595943450928,0.0,VF2Layout,7163.112163543701,25,nonexistent solution,no better solution found,True,True,66,38,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
merged_pairs,,1.0,,22,2,0,42,1.0,21,0,3,1,127.6720850999991,21,21,True,True,0,13731.0123999996,13713.846445083618,0.0,13713.846445083618,0.9987498405495591,7464.084148406982,0.0,6249.762296676636,0.0,VF2Layout,7464.084148406982,25,nonexistent solution,no better solution found,True,True,66,38,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
merged_pairs,,1.0,,22,2,0,42,1.0,21,1,3,0,157.259418499998,21,21,True,True,0,13683.019899999636,13650.316715240479,0.0,13650.316715240479,0.9976099439306408,6916.564702987671,0.0,6733.752012252808,0.0,VF2Layout,6916.564702987671,25,nonexistent solution,no better solution found,True,True,66,38,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
merged_pairs,,1.0,,22,2,0,42,1.0,21,1,3,1,170.94677699999738,21,21,True,True,0,13390.581999999995,13363.863229751587,0.0,13366.822957992554,0.9980046595249998,6613.705158233643,15.694618225097656,6734.463453292847,0.0,VF2PostLayout,6734.463453292847,25,nonexistent solution,no better solution found,True,True,66,38,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
