family,k,m,order,j,n_interaction_edges,max_interaction_degree,spare,n,occupancy,n_pairs,seed,optimization_level,repeat,elapsed_since_start_s,max_matching_size,n_pairs_required,embedding_feasible,perfect_matching_exists,matching_slack,time_ms,layout_ms,routing_ms,accounted_ms,layout_frac,vf2layout_ms,sabrelayout_ms,vf2postlayout_ms,sabreswap_ms,slowest_pass,slowest_pass_ms,n_passes,vf2_stop_reason,vf2post_stop_reason,vf2postlayout_ran,vf2layout_ran,two_qubit_gates,depth,error,cpu,platform,python_version,qiskit_version,grid_rows,grid_cols,grid_size,gates_per_pair,seed_transpiler
merged_pairs_variant,,3,reverse,,35,2,0,64,1.0,32,0,3,0,2.182571800000005,32,32,True,True,0,29.646999999386026,15.871763229370117,0.0,22.8421688079834,0.5353581552837998,14.87112045288086,0.0,0.0,0.0,VF2Layout,14.87112045288086,26,solution found,no better solution found,True,True,105,38,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,8,8,64,20,42
merged_pairs_variant,,3,reverse,,35,2,0,64,1.0,32,0,3,1,2.214432599997963,32,32,True,True,0,27.986799999780487,14.681100845336914,0.0,20.947694778442383,0.5245723285781891,13.681888580322266,0.0,0.0,0.0,VF2Layout,13.681888580322266,26,solution found,no better solution found,True,True,105,38,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,8,8,64,20,42
merged_pairs_variant,,3,reverse,,35,2,0,64,1.0,32,1,3,0,2.3877921999992395,32,32,True,True,0,27.676999998220708,16.280412673950195,0.0,16.280412673950195,0.5882289509338738,16.280412673950195,0.0,0.0,0.0,VF2Layout,16.280412673950195,26,solution found,no better solution found,True,True,105,38,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,8,8,64,20,42
merged_pairs_variant,,3,reverse,,35,2,0,64,1.0,32,1,3,1,2.418090899998788,32,32,True,True,0,27.798700000857934,18.75782012939453,0.0,20.756244659423828,0.6747732853988,18.75782012939453,0.0,0.0,0.0,VF2Layout,18.75782012939453,26,solution found,no better solution found,True,True,105,38,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,8,8,64,20,42
merged_pairs_variant,,3,reverse,,35,2,0,64,1.0,32,2,3,0,2.571175699999003,32,32,True,True,0,26.859999998123385,13.926267623901367,0.0,20.57027816772461,0.5184760843214574,13.926267623901367,0.0,0.0,0.0,VF2Layout,13.926267623901367,26,solution found,no better solution found,True,True,105,38,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,8,8,64,20,42
merged_pairs_variant,,3,reverse,,35,2,0,64,1.0,32,2,3,1,2.600272399999085,32,32,True,True,0,27.621299999736948,14.45627212524414,0.0,19.56319808959961,0.5233740673097145,13.433694839477539,0.0,1.0225772857666016,0.0,VF2Layout,13.433694839477539,26,solution found,no better solution found,True,True,105,38,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,8,8,64,20,42
merged_pairs_variant,,4,reverse,,36,2,0,64,1.0,32,0,3,0,2.7662315999987186,32,32,True,True,0,31.504599999607308,20.27750015258789,0.0,25.661706924438477,0.643636172268197,15.80357551574707,0.0,4.47392463684082,0.0,VF2Layout,15.80357551574707,26,solution found,no better solution found,True,True,108,38,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,8,8,64,20,42
merged_pairs_variant,,4,reverse,,36,2,0,64,1.0,32,0,3,1,2.800028300000122,32,32,True,True,0,28.15280000140774,15.464067459106445,0.0,22.257328033447266,0.5492905664208599,14.464616775512695,0.0,0.99945068359375,0.0,VF2Layout,14.464616775512695,26,solution found,no better solution found,True,True,108,38,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,8,8,64,20,42
merged_pairs_variant,,4,reverse,,36,2,0,64,1.0,32,1,3,0,2.967452000000776,32,32,True,True,0,27.568900000915164,14.684915542602539,0.0,20.865440368652344,0.5326623674544528,14.684915542602539,0.0,0.0,0.0,VF2Layout,14.684915542602539,26,solution found,no better solution found,True,True,108,38,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,8,8,64,20,42
merged_pairs_variant,,4,reverse,,36,2,0,64,1.0,32,1,3,1,2.997316699998919,32,32,True,True,0,28.386799996951595,15.064477920532227,0.0,26.555299758911133,0.5306860203386776,15.064477920532227,0.0,0.0,0.0,VF2Layout,15.064477920532227,26,solution found,no better solution found,True,True,108,38,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,8,8,64,20,42
