spare,n,occupancy,n_pairs,seed,optimization_level,repeat,elapsed_since_start_s,max_matching_size,n_pairs_required,embedding_feasible,perfect_matching_exists,matching_slack,time_ms,layout_ms,routing_ms,accounted_ms,layout_frac,vf2layout_ms,sabrelayout_ms,vf2postlayout_ms,sabreswap_ms,slowest_pass,slowest_pass_ms,n_passes,vf2_stop_reason,two_qubit_gates,depth,error,cpu,platform,python_version,qiskit_version,grid_rows,grid_cols,grid_size,gates_per_pair,seed_transpiler
0,42,1.0,21,0,1,0,2.3651215999998385,21,21,True,True,0,35.910900001908885,15.854120254516602,0.0,31.621456146240234,0.4414849044071259,0.0,0.0,15.854120254516602,0.0,VF2PostLayout,15.854120254516602,19,nonexistent solution,1266,728,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
0,42,1.0,21,0,1,1,2.431648399997357,21,21,True,True,0,39.31640000155312,15.675544738769531,0.0,31.470537185668945,0.3987024432081854,0.0,0.0,15.675544738769531,0.0,VF2PostLayout,15.675544738769531,19,nonexistent solution,1266,728,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
0,42,1.0,21,0,1,2,2.500558399999136,21,21,True,True,0,41.92319999856409,16.032695770263672,0.0,31.841278076171875,0.38243015253637147,16.032695770263672,0.0,0.0,0.0,VF2Layout,16.032695770263672,19,nonexistent solution,1266,728,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
0,42,1.0,21,0,3,0,9.070884599997953,21,21,True,True,0,6388.862899999367,6372.554779052734,0.0,6388.197422027588,0.9974474141640081,3179.539203643799,0.0,3193.0155754089355,0.0,VF2PostLayout,3193.0155754089355,25,nonexistent solution,63,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
0,42,1.0,21,0,3,1,15.461090299999341,21,21,True,True,0,6378.212399999029,6363.472700119019,0.0,6379.442930221558,0.9976890547138235,3171.1368560791016,0.0,3192.335844039917,0.0,VF2PostLayout,3192.335844039917,25,nonexistent solution,63,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
0,42,1.0,21,0,3,2,21.840715599999385,21,21,True,True,0,6402.1041999985755,6388.328552246094,0.0,6404.35528755188,0.9978482624896226,3192.2221183776855,2.070188522338867,3194.0362453460693,0.0,VF2PostLayout,3194.0362453460693,25,nonexistent solution,63,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
0,42,1.0,21,1,1,0,28.334299799997098,21,21,True,True,0,33.394800000678515,14.483451843261719,0.0,26.813983917236328,0.43370380547173343,5.753040313720703,1.7402172088623047,6.990194320678711,0.0,BasisTranslator,9.258031845092773,19,nonexistent solution,1266,728,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
0,42,1.0,21,1,1,1,28.397462099997938,21,21,True,True,0,36.054099997272715,13.534307479858398,0.0,31.475543975830078,0.37538885954391293,5.748271942138672,0.42629241943359375,7.359743118286133,0.0,BasisTranslator,8.016586303710938,19,nonexistent solution,1266,728,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
0,42,1.0,21,1,1,2,28.46316669999942,21,21,True,True,0,36.26989999975194,17.757892608642578,0.0,31.52942657470703,0.4896041237710616,0.0,0.0,17.757892608642578,0.0,VF2PostLayout,17.757892608642578,19,nonexistent solution,1266,728,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
0,42,1.0,21,1,3,0,43.45019250000041,21,21,True,True,0,17556.305200003408,17535.125255584717,0.0,17540.910959243774,0.9987935989846721,8450.81901550293,0.0,9084.306240081787,0.0,VF2PostLayout,9084.306240081787,25,nonexistent solution,63,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
