family,k,m,order,j,n_bare,n_interaction_edges,max_interaction_degree,spare,n,occupancy,n_pairs,seed,optimization_level,repeat,elapsed_since_start_s,max_matching_size,n_pairs_required,embedding_feasible,perfect_matching_exists,matching_slack,time_ms,layout_ms,routing_ms,accounted_ms,layout_frac,vf2layout_ms,sabrelayout_ms,vf2postlayout_ms,sabreswap_ms,slowest_pass,slowest_pass_ms,n_passes,vf2_stop_reason,vf2post_stop_reason,vf2postlayout_ran,vf2layout_ran,two_qubit_gates,depth,error,cpu,platform,python_version,qiskit_version,grid_rows,grid_cols,grid_size,gates_per_pair,seed_transpiler
n_bare_edges,,,,,16,23,2,0,42,1.0,21,0,3,0,1.524162300000171,21,21,True,True,0,27.051499999288353,12.071371078491211,0.0,16.920804977416992,0.4462366626179241,12.071371078491211,0.0,0.0,0.0,VF2Layout,12.071371078491211,26,solution found,no better solution found,True,True,69,38,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,6,7,42,20,42
n_bare_edges,,,,,16,23,2,0,42,1.0,21,0,3,1,1.5534788000004482,21,21,True,True,0,25.70680000098946,12.047052383422852,0.0,15.467166900634766,0.46863290580543504,11.042594909667969,0.0,0.0,0.0,VF2Layout,11.042594909667969,26,solution found,no better solution found,True,True,69,38,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,6,7,42,20,42
n_bare_edges,,,,,16,23,2,0,42,1.0,21,1,3,0,1.750613300000623,21,21,True,True,0,26.243000000249594,12.058019638061523,0.0,15.211820602416992,0.45947565590621653,12.058019638061523,0.0,0.0,0.0,VF2Layout,12.058019638061523,26,solution found,no better solution found,True,True,69,38,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,6,7,42,20,42
n_bare_edges,,,,,16,23,2,0,42,1.0,21,1,3,1,1.779073600000629,21,21,True,True,0,25.539199999911943,12.062549591064453,0.0,15.436887741088867,0.4723150917454753,12.062549591064453,0.0,0.0,0.0,VF2Layout,12.062549591064453,26,solution found,no better solution found,True,True,69,38,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,6,7,42,20,42
n_bare_edges,,,,,16,23,2,0,42,1.0,21,2,3,0,1.9557237999997596,21,21,True,True,0,26.192199999059085,13.05389404296875,0.0,17.019987106323242,0.4983886058993781,12.001991271972656,0.0,1.0519027709960938,0.0,VF2Layout,12.001991271972656,26,solution found,no better solution found,True,True,69,38,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,6,7,42,20,42
n_bare_edges,,,,,16,23,2,0,42,1.0,21,2,3,1,1.9841539999997622,21,21,True,True,0,25.793400000111433,11.597394943237305,0.0,15.631437301635742,0.44962645262692014,11.597394943237305,0.0,0.0,0.0,VF2Layout,11.597394943237305,26,solution found,no better solution found,True,True,69,38,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,6,7,42,20,42
n_bare_edges,,,,,16,23,2,0,42,1.0,21,3,3,0,2.1568652000005386,21,21,True,True,0,26.695299999119015,11.067628860473633,0.0,15.33055305480957,0.41459091528616954,11.067628860473633,0.0,0.0,0.0,VF2Layout,11.067628860473633,26,solution found,no better solution found,True,True,69,38,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,6,7,42,20,42
n_bare_edges,,,,,16,23,2,0,42,1.0,21,3,3,1,2.185782200000176,21,21,True,True,0,26.14529999846127,11.002063751220703,0.0,15.013933181762695,0.42080464756067854,11.002063751220703,0.0,0.0,0.0,VF2Layout,11.002063751220703,26,solution found,no better solution found,True,True,69,38,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,6,7,42,20,42
n_bare_edges,,,,,16,23,2,0,42,1.0,21,4,3,0,2.3689837000001717,21,21,True,True,0,26.467800000318675,12.059926986694336,0.0,15.63405990600586,0.4556452363456401,12.059926986694336,0.0,0.0,0.0,VF2Layout,12.059926986694336,26,solution found,no better solution found,True,True,69,38,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,6,7,42,20,42
n_bare_edges,,,,,16,23,2,0,42,1.0,21,4,3,1,2.3976877000004606,21,21,True,True,0,26.199500000075204,14.319896697998047,0.0,16.63517951965332,0.5465713734215135,12.150049209594727,0.0,1.1665821075439453,0.0,VF2Layout,12.150049209594727,26,solution found,no better solution found,True,True,69,38,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,6,7,42,20,42
